label,confidence,explanation,evidence_phrases
Negative,0.85,"The reviewer criticizes the movie's predictable plot and formulaic nature, expressing boredom with the genre's typical elements and preferring something more original and scary. While there's some appreciation for unintentional humor now, the overall tone leans towards disappointment with the film itself.","['tired of the formula for these monster type movies', 'predictable plots', ""I didn't care much for the romantic angle as a 12 year old and the predictable plots.""]"
Negative,0.85,"The review expresses disappointment and negativity towards the film, highlighting a ""demented"" storyline, deviation from the game, and overall poor quality. Despite mentioning a few positive aspects like boat and fighting scenes, the reviewer ultimately concludes that the movie ""reeks of scheisse"" and delivers a disappointing ""Boll experience.""","['However, the storyline in this film is beyond demented.', ""The movie Far Cry reeks of scheisse (that's poop for you simpletons) from a fa,r"", 'if you wanna take a wiff go ahead..']"
Negative,0.95,"The review expresses disappointment and criticizes the adaptation of Shakespeare, stating that it ""ruin[ed] something so good"" and ""just does not cut it.""","['Shakespeare lost.', 'why ruin something so good', 'just does not cut it']"
Positive,0.95,"The review uses positive language such as ""fantastic movie"", ""not bad"" about an actor the reviewer dislikes, and ""good thing"" about the soundtrack, concluding with a recommendation.","['fantastic movie', 'not bad', 'good thing', 'I recommand this movie to everybody']"
Negative,0.75,"The review mentions a ""disaster"" in the second half, which outweighs the ""okay"" first half and the possibility of rewatching for lack of better options.","['was a disaster', 'first half was okay', 'really long']"
Negative,0.95,"The review expresses disappointment with the remake, stating it fails to capture the essence of the original and strays too far from the source material. Although it acknowledges some positive aspects (Liam Neeson's performance), the overall assessment is unfavorable, recommending the older version instead.","['Some films just simply should not be remade.', 'it fails to capture the flavor and the terror of the 1963 film', 'the major fault with this version is that it strayed too far from the Shirley Jackson story', 'you will enjoy the friction of terror in the older version much more']"
Negative,0.98,"The review uses explicitly negative language (e.g., ""most awful,"" ""horrible,"" ""just awful,"" ""real disappointment"") and details numerous flaws in the movie's plot, character development, and originality.","['one of my top 10 most awful movies', 'Horrible', 'no chance for any character development', 'Scenes were blatantly stolen from other movies', 'Just awful. A real disappointment']"
Neutral,0.75,"The review mainly consists of reminiscing about the reviewer's experience watching the film in their childhood and asking for help finding it, rather than expressing a clear positive or negative opinion about the movie itself. There isn't strong emotional language indicating enjoyment or dislike of the film's plot, acting, or other attributes.","['I remember this film,it was the first film i had watched at the cinema', 'If anyone knows where to find this on DVD etc please let me know.', 'would love to hear from others who have seen this film or any other like it.']"
Negative,0.95,"The review uses strongly negative language to describe the film, such as ""awful film,"" ""mangled it beyond recognition,"" and ""dishwater-dull script.""","['awful film', 'mangled it beyond recognition', 'dishwater-dull script']"
Positive,0.85,"Despite pointing out flaws, the review ultimately recommends enjoying the film, highlighting its entertainment value and thrills. Phrases like ""very lovable and undeniably entertaining romp"" and ""enjoy!"" indicate a positive overall assessment.","['very lovable and undeniably entertaining romp that delivers as plenty of thrills', ""forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy!""]"
Negative,0.99,"The review uses strong negative language such as ""terrible misfortune,"" ""worst b-movie of all time,"" ""fails in all aspects,"" ""crappy one-liners,"" ""utterly unattractive,"" and ""too painful to watch"".","['terrible misfortune', 'worst b-movie of all time', 'fails in all aspects', 'crappy one-liners', 'utterly unattractive', 'too painful to watch']"
Positive,0.95,"The reviewer uses strong positive language like ""absolutely stunning"", ""won't regret it"", ""too much fun"", and states they ""liked it"".","['absolutely stunning movie', ""you won't regret it"", 'too much fun', 'I still liked it']"
Negative,0.95,"The review expresses strong dissatisfaction with the movie's animation, effects, and overall quality, ultimately assigning it a low rating of 3/10.","['the movie goes WWWAAAAAYYYYY downhill', 'The animation is VERY bad & cheap', 'dinosaurs look worse than Godzilla', 'dialogue & voices...was horrid', 'pretty painful to watch']"
Negative,0.95,"The review uses strongly negative language such as ""worst movie"", ""ridiculous and predictable"", ""totally unsympathetic"", ""a bore to watch"", and compares the movie unfavorably to ""straight-to-video movies"".","['worst movie', 'ridiculous and predictable', 'totally unsympathetic', 'a bore to watch', 'straight-to-video movies']"
Negative,0.85,"The review criticizes the film's factual inaccuracies and the portrayal of Karen Carpenter, outweighing the praise for Louise Fletcher and the music.","['Though it fails in giving accurate facts, and details', 'Cynthia Gibb (portrays Karen) was not a fine election.', 'plays a very naive and sort of dumb Karen Carpenter.']"
Positive,0.99,"The review uses overwhelmingly positive language, calling the movie a ""masterpiece"", ""truly magnificent"", and ""best movie of the year to date."" The reviewer actively defends the film against criticisms and awards it a 4/4 rating.","['exotic masterpiece', 'truly magnificent', 'best movie of the year to date', 'fantastic I thought ""The Cell"" was', 'assured a good time']"
Negative,0.95,"The review criticizes the film's multiple failed attempts at different genres and overall poor execution, stating it failed miserably and was a clumsy effort.","['failed miserably at all of them', 'clumsy effort', 'poor writing, direction, and production']"
Negative,0.95,"The review expresses frustration and dislike for many elements of the movie, despite acknowledging a somewhat enjoyable 'bad' final scene.","['This movie was so frustrating', 'I hated them so much', 'I just hated her', 'What crappy dancing', 'Horrible and beautiful at once']"
Positive,0.85,"The review highlights the movie's originality, compelling story, vivid portrayal of the war-torn South, complex characters, and effective anti-war message. Although it mentions a tepid climax and awkward love story, the overall tone suggests a positive assessment.","['a truly original and compelling story', 'vivid, compelling and, at times, very disturbing portrait', 'unique vision of an era that is sure not only to entertain but also to truly absorb the audience']"
Positive,0.95,"The review uses positive language, praising the movie's gripping nature, superior script, precise performances, and memorable roles. It highlights the strengths of the acting and direction while acknowledging minor flaws like sermonizing.","['Taut and organically gripping', 'distinctive suspense thriller', 'superior script', 'Dmytryk draws precise performances']"
Positive,0.98,"The review uses strong positive language such as ""finest film ever made"", ""master piece"", ""fantastic"", and ""dealt brilliantly"". It highlights the film's success and impact.","['one of the finest film ever made', 'master piece', 'fantastic', 'dealt brilliantly']"
Negative,0.95,"The reviewer states the movie is ""deadly dull"" and ""unfulfilling"", and the dubbing issue further contributes to the negative sentiment.","['not a good one', 'deadly dull', 'unfulfilling']"
Positive,0.95,"The review uses phrases like ""masterfully constructed and innovative film"", ""unexpectedly end up loving and feeling for"", and concludes with ""fine representative"" and ""Your loss, world."" indicating a positive assessment.","['masterfully constructed and innovative film', 'unsympathetic character you unexpectedly end up loving and feeling for', 'fine representative', 'Your loss, world']"
Negative,0.95,"The review expresses strong dissatisfaction with the film, highlighting boredom, tediousness, and a lack of redeeming qualities beyond two actors. The reviewer explicitly recommends avoiding the film unless one is extremely bored.","['they were all terrible', 'its just so boring', 'utterly tedious', 'Best avoid unless your bored of watching paint dry']"
Negative,0.95,"The review expresses disappointment and criticizes the movie's content, humor, and overall quality. The reviewer also gives it a low rating (2/10) and explicitly recommends against watching it.","['I was 100% wrong', 'lame, caricatured, insincere, derivative, unoriginal, and worst of all not funny in the slightest', 'Just say no to this movie, though. 2/10']"
Negative,0.75,"The review states the movie is 'just fine' and the reviewer wouldn't spend money on it, indicating dissatisfaction despite acknowledging it's 'watchable'.","[""it's just fine"", 'Not something I would waste my 100 bucks on']"
Negative,0.99,"The review uses strongly negative language to describe the movie's plot, acting, and overall quality, indicating a negative sentiment.","['lost the plot?', ""didn't even really have one to begin with"", 'achingly tedious', ""lead actress who can't act"", 'truly nasty', 'offers nothing but curiosity value']"
Positive,0.85,"The review expresses strong positive sentiments towards David Morse and David Koepp, calling their collaboration ""heaven."" While it acknowledges the show's potential cancellation, it expresses hope for its continuation and criticizes the success of other shows it deems inferior.","['David Morse is one of the greatest character actors out there, and certainly the coolest, and to have him in a series created by David Koepp - a great writer - is heaven!!', ""let's hope something good can make it past a first series!!!""]"
Negative,0.95,"The review uses highly critical language such as ""pile of dung,"" ""listless and formulaic,"" ""truly ridiculous and impossible to follow,"" and ""truly grotesque."" The reviewer also highlights misogynistic elements and criticizes the plot and dialogue.","['pile of dung', 'listless and formulaic', 'truly ridiculous and impossible to follow', 'truly grotesque']"
Negative,0.95,"The review explicitly criticizes the movie's clichés, lack of substance, poor plot, and acting. The reviewer also states they felt like a ""sucker"" for watching it and wouldn't recommend it even for mindless entertainment.","['It had all the clichés of movies of this type and no substance.', 'The plot went nowhere', 'I felt like a sucker for watching it.', 'the script and acting were B-movie quality.', 'This movie is not worthy of more words', ""If you are looking for mindless entertainment, I still wouldn't recommend this movie.""]"
Positive,0.95,"The review praises several aspects of the movie, including the acting, cinematography, and overall romantic appeal. It highlights the 'wonderful' performance of Jennifer Jones, the beautiful Hong Kong setting, and calls the movie a 'shining example' of classic Hollywood love stories.","['beautiful Hong Kong settings, gives this love story a unique and rather daring atmosphere', 'wonderful, Oscar nominated performance', 'acting is top notch', ""cinematography really brings out fifty's Hong Kong"", 'shining example']"
Negative,0.99,"The review uses extremely negative language such as ""worst yet"", ""made me cry out in pain"", ""so crappy"", and ""W=waste"" to describe the film, indicating a strongly negative opinion.","['one of the worst yet', 'made me cry out in pain', 'How could ANYONE come up with something so crappy?', 'this is a sure ""W"" movie. (W=waste)']"
Negative,0.95,"The review uses negative language like ""shaky acting"", ""degenerates into a highly improbable series"", ""alienation of his target audience"", ""in no way reflects reality"", ""unbelievable"" and ""cheesy"", strongly indicating a negative opinion of the film.","['shaky acting', 'degenerates into a highly improbable series', 'alienation of his target audience', 'in no way reflects reality', 'unbelievable', 'cheesy']"
Positive,0.85,"The reviewer expresses a strong personal connection to the movie and its themes, viewing it as a reminder of past American values of hard work and pride. The desire to share the movie with others to evoke similar feelings indicates a positive sentiment.","['This movie struck home for me.', ""I'd love to show this to my friends, my pseudo friends, family and other relatives, see what they think and remind them that once upon a time, Americans WOULD work for the sake of feeling honor and that we had pride in what we accomplished!!""]"
Positive,0.95,"The reviewer consistently praises the movie's elements (acting, dancing, singing, decor) as superior to the musical adaptation. They express enjoyment of the movie, even highlighting specific scenes and songs they found particularly strong.","['Michael Douglas worked quite well in that role', 'one of the best parts of the movie', 'dancers and singing in the movie are much superior to the musical', 'whole movie just delivers more than the musical in my opinion', 'end product was more enjoyable than the musical']"
Negative,0.95,"The review states the movie is ""implausible"" and that the story ""goes downhill halfway through."" It also suggests only Goldie Hawn fans should see it.","['implausible movie', 'story goes downhill halfway through', ""Goldie's charm just doesn't save this movie"", ""Unless you are a Goldie Hawn fan don't go out of your way to see this film""]"
Negative,0.95,"The reviewer expresses strong disapproval of the film, criticizing its historical inaccuracy and questioning the scriptwriters' intentions.","['How this film could be classified as Drama, I have no idea', 'I would be trying to erase this from my CV', 'historically accurate as Xena and Hercules', 'did anyone not get offended?', 'Anyone who had even a modicum of taste would have winced at this one!']"
Positive,0.85,"The review expresses appreciation for the film's realism, performances, and overall quality, concluding it is a ""first rate film.""","[""the story is presented well enough to hold one's interest to the end"", 'thanks to the performances of Tracy and Colleen Moore as his wife Sally, the tragedy of the worldly success of the pair is fully brought home', 'So on the whole it is a first rate film']"
Negative,0.95,"The review highlights numerous flaws, including banal dialogue, wooden acting, illogical plot points, and a lame finale. While it mentions some positive aspects like the build-up and Fulci's handling of giallo norms, the overall tone is critical and the rating is low.","['quite bad by normal standards', 'banal dialogue, wooden acting, illogical plot points', 'rather lame or shall I say: limp affair', '3 out of 10']"
Positive,0.85,"The review highlights positive aspects such as the classic nature of the film, the well-presented fight scenes, and the nostalgic value. The reviewer recommends seeing it if one is ""game for a nostalgic trip down memory lane.""","['one of those classic Kung-Fu movies', 'refreshing watching the fight scenes here', 'nostalgic trip down memory lane']"
Neutral,0.65,"The review primarily summarizes the plot of the movie without expressing strong positive or negative opinions about its quality or entertainment value. It focuses on the narrative details and character arcs, rather than offering a critical assessment.","['familiar story that happens to many young men who are put in a war zone', 'Recovering from his wounds at an Army hospital Jimmy fell in love with US Army volunteer nurse Rose Duffy', ""Jimmy's life of crime came full circle when Rose, after she found out about his secret life, ratted him out to the police""]"
Positive,0.95,"The review states the movie is ""one of the better ones"", ""worth a look"", and ""great fun"", suggesting a positive opinion overall, which is supported by the 3 out of 5 stars rating.","['one of the better ones', 'worth a look', 'Great fun']"
Positive,0.95,"The reviewer expresses surprise at enjoying the movie, describes the stories as 'better than par,' and says the linking story and ending 'hooked' them. The reviewer also gives the movie an '8'.","['I cannot believe I enjoyed this as much as I did', 'better than par', 'hooked me', 'Space Maggot douses the campfire in his own special way and hikes this an 8.']"
Negative,0.95,The review expresses strong negativity towards a specific group of people (supporters of W. Bush) and compares them unfavorably to historical figures. The reviewer uses harsh language and expresses satisfaction at the character's eventual demise.,"['the nations nitwits', 'take the a**-whupping they deserve', 'retarded Yale cheerleaders', ""comforting to know that shortly after the film ends he'll have his jaw shot off and be sent to the guillotine""]"
Negative,0.95,"The review explicitly states the film fails as a fake documentary due to poor acting and dialogue, and that it's 'downhill from there' after the initial reveal. It uses words like 'confusing and forced' and 'awful' to describe the movie.","[""Such is not the case with 'Love Machine'."", ""It's downhill from there."", 'The film is confusing and forced, but what ultimately brings it down is the believability of the actors and the pretty awful dialogue.']"
Negative,0.85,"The reviewer gives the film a low rating (4/10), indicates boredom, and criticizes the reliance on gore and shock value, ultimately deeming it just 'decent entertainment'.","[""I'd give the Hills Have Eyes II 4 out of 10 for pure entertainment"", 'I found myself looking at my watch more and more as the film went on', 'it began to drag', ""just decent entertainment, something to pass time if you're bored, and nothing else."", 'graphic rape scene which is pointlessly thrown in to shock the audience.']"
Negative,0.95,"The review expresses strong disapproval through sarcasm and direct criticism, highlighting implausible plot points and reliance on clichés.","['I laughed all the way through this rotten movie.', 'Nothing rings true in this ""Lifetime for Women with nothing better to do"" movie.', 'No cliche is left unturned.']"
Positive,0.95,"The review uses positive language to describe the film, calling it ""terrific,"" ""solid and engaging,"" and highlighting ""clever plot twists"" and ""terrific Hitchcock villains."" It emphasizes the memorable characters and exciting plot.","['terrific plot', 'solid and engaging', 'clever plot twists', 'terrific Hitchcock villains']"
Positive,0.98,"The review uses overwhelmingly positive language like ""brilliance,"" ""amazing,"" ""highest caliber,"" ""completely mesmerized,"" and ""hugely entertained"" to describe the movie. The reviewer clearly enjoyed the film and recommends it.","['the brilliance of the two leads leaves me just about speechless', 'Albert Finney and Tom Courtenay are nothing less than amazing in this movie', 'completely mesmerized as I was from beginning to end', 'If you want to see an example of what great acting is all about, and be hugely entertained all the while, then I encourage you to see The Dresser.']"
Negative,0.95,"The reviewer expresses disappointment, stating the movie ""never really got going"" and criticizing Steve Martin's performance as ""dreadful.""","['somewhere the movie loses it', 'never really got going', 'Steve Martin, who is a very talented person and usually brings a lot to a movie, was dreadful']"
Negative,0.95,"The reviewer uses highly critical language, expressing disappointment with the plot, character development, and ending. They also criticize the predictability and banality of certain elements.","['Not only was the plot was difficult to follow', 'their characters are rendered entirely one dimensional', 'The end scene is disappointing and phoned in']"
Positive,0.95,"The review expresses overall positive sentiment, highlighting the originality, entertainment value, and recommending the movie with confidence.","[""as original as Cronenberg's movies"", 'quite interesting and entertaining to follow', 'Recommend with confidence!']"
Negative,0.95,"The review uses negative language such as ""boring"", ""oppressive"", ""fell flat"", and questions any ""redeeming qualities"".","['boring', 'oppressive and dark', 'fell flat', 'redeeming qualities']"
Negative,0.95,"The review expresses strong disapproval, calling the remake ""stupid"", the story ""laughable and dated"", and the film ""flimsy and dull."" It also mentions the film ""bombed"" and suggests watching the older version instead, indicating a negative overall assessment.","['stupid idea', 'predictably) bombed', 'laughable and dated', 'film really drags and I was bored silly', 'Flimsy and dull']"
Positive,0.95,"The review explicitly states the film is ""very unique and enjoyable"" and praises the storyline. The reviewer also recommends the film and gives it a high score of 8.5/10.","['very unique and enjoyable film', 'well written film with lots of twists that kept me guessing up until the end', 'Recommended for giallo/murder-mystery fans', '8.5/10']"
Negative,0.95,"The review uses highly critical language like ""totally unwatchable piece of STV crap"", ""acting is wooden and the dialogue is painful"", and gives a low score of 3/10. While it acknowledges the presence of ""semi-naked, quality crumpet"", this is presented as the only redeeming feature in an otherwise terrible film.","['totally unwatchable piece of STV crap', 'acting is wooden and the dialogue is painful', 'the comedic banter of Lite and Dark being particularly cringe-worthy', '3/10 solely for the high bimbo quotient']"
Negative,0.85,"The review expresses disappointment with the movie's plot and overall quality, despite some positive comments about the actor and music.","['I was really disappointed when I seen this movie.', ""It didn't have much of a plot and what they did have was not that appealing."", 'Her acting had a lot to be desired.', 'All the movie had not a lot to be desired and I hope Salman does a lot better on his next movie.']"
Negative,0.95,"The review expresses disappointment and criticism regarding the film's connection to the franchise, the humor, and the overall quality, culminating in a ""THUMBS DOWN"" recommendation.","[""I'm not sure why the producers needed to trade on the name of a somewhat successful movie franchise"", 'Kym Whitley is not funny, and could not hold a candle to the late Robin Harris', 'I have to give this a THUMBS DOWN!!']"
Negative,0.98,"The review heavily criticizes the film's predictable storyline, shallow characters, poor special effects, and numerous plot holes. The only positive aspect mentioned is Bill Campbell's performance, but it's not enough to outweigh the negative criticisms.","['most predictable story lines and shallow characters ever seen', 'numerous lame attempts at special effects', 'plot holes are too numerous to mention', 'train wreck that is this script', 'I give this film 2 out of 10']"
Negative,0.85,"The review expresses disappointment with the movie compared to the original. It highlights negative aspects like poor replacements for original actors and irritating characters. Although it acknowledges some funny moments, the overall sentiment is that the movie fails to live up to its predecessor.","['Robert Stack is a horrible replacement for Ted Knight and Jackie Mason, while funny just cant compete with Rodney Dangerfield.', 'Most of the other characters in the movie lack the punch of the original', 'His voice is beyond irritating and everything he does isnt even funny, its just stupid.', 'Overall Caddyshack II is a good movie, but in comparison to the awesome original it just cant cut it.']"
Negative,0.95,"The review uses highly negative language such as ""sucks"", ""phony looking"", ""beautifully filmed turd"", and ""over-hyped mess"" to describe the film. Although the reviewer notes some positives, the overall sentiment is clearly negative.","['this short film sucks', 'phony enough looking to ruin the viewing experience', 'beautifully filmed turd', 'over-hyped mess']"
Positive,0.98,"The review expresses strong approval of the movie, praising the writing, subtle messages, voice-overs, and portrayal of Malaysian attitudes. The reviewer states the movie ""totally reached my expectation if not exceeded it"" and ""kept me glued to the screen"".","['wonderfully written', 'absolutely love the voice-overs', 'this movie totally reached my expectation if not exceeded it', 'kept me glued to the screen']"
Positive,0.95,"The reviewer states ""The movie is excellent"" and recommends seeing it, indicating a positive overall assessment.","['The movie is excellent', 'This is super please see the movie']"
Negative,0.85,"The review expresses disappointment and sarcasm regarding the movie's lack of originality and quality, referencing ""aging themes,"" ""rip-offs,"" and the editor ""gave up on making sense of the stock.""","['chose to dish out a bunch of aging themes from the chum bucket of other movies', 'allusions/homages?/rip-offs', 'editor gave up on making sense of the stock', 'I was disappointed']"
Positive,0.85,"The reviewer describes the movie as a ""pretty fun, swashbuckling adventure"" that ""captures your interest"" and states ""You just can't hate it"" while also praising the soundtrack.","['pretty fun, swashbuckling adventure', 'captures your interest', ""You just can't hate it"", 'I really love the soundtrack']"
Positive,0.85,"The review highlights James Coburn's excellent performance, calling it the best part of the film and saying he ""blows everyone else off the screen."" It also recommends the film for those who enjoy ""Peckinpaugh lite.""","[""the acting honors in The Last Hard Men go to James Coburn. He blows everyone else off the screen when he's on"", 'For a little Peckinpaugh lite, The Last Hard Men is your film.']"
Negative,0.95,"The review expresses disappointment with the movie, criticizing its lack of balance, poor execution of sex and violence, and overall soullessness. The reviewer uses phrases like ""too sleazy for its own good,"" ""tedious,"" and ""without a shred of suspense or true horror.""","[""Turns out it's way too sleazy for its own good"", 'a pretty soulless movie', 'the overall feeling from Entrails of a Virgin is that of a lumpy one']"
Negative,0.99,"The review uses extremely negative language and describes the movie as ""HISTORICALLY awful"".","['HISTORICALLY awful movie', 'like Kurtz swallowing a bug', 'resemble a hirsute Boy Scout troop meandering tentatively']"
Positive,0.98,"The reviewer uses overwhelmingly positive language, calling the film a 'little gem,' 'beautifully expressive,' 'absolutely riveting,' and an 'incredible piece of work.' The reviewer also states it's a 'must-see' and that it 'makes a deep impression and never leaves you.'","['they UNDERRATED this little gem', 'beautifully expressive film', 'Absolutely riveting from beginning to end', 'incredible piece of work', 'must-see']"
Positive,0.95,"The review uses overwhelmingly positive language such as ""great movie,"" ""very intriguing,"" ""greatest mind,"" and ""awesome,"" indicating a positive overall assessment.","['great movie', 'very intriguing', 'greatest mind', 'awesome']"
Negative,0.95,"The reviewer uses phrases like ""so so so so bad!"", ""do not be fooled"", ""predictable ending"", ""TERRIBLE acting"", and ""trite story"" to express strong dissatisfaction with the film.","['so so so so bad!', 'do not be fooled', 'predictable', 'TERRIBLE acting', 'trite']"
Negative,0.95,"The review contains overwhelmingly negative opinions using strong words like ""bad movie, nasty, gross, unscary, very silly"". The reviewer also compares the movie unfavorably to other things.","['this is a bad movie, nasty, gross, unscary and very silly', 'Blood Surf would have to be the second worst croc flick', ""ruin not only the ferocious image of such a creature, but a good hour and a half of the viewer's life"", 'avoid Blood Surf']"
Negative,0.98,"The review explicitly states the film has a 'weak execution' and many failures. Phrases like 'worst part about it', 'silly sequences', 'laughable dialog', 'awful detective story', 'bored me to tears', 'horrible ending' and 'awful thriller' all point to a negative assessment. A rating of 3/10 reinforces this negative sentiment.","['weak execution', 'failed on many different levels', 'screenplay was probably the worst part about it', 'awful thriller', 'Rating 3/10']"
Negative,0.98,"The review uses overwhelmingly negative language, describing the film as ""barely watchable,"" with ""dire"" acting, a ""disgraceful"" plot, and ""terrible"" overall.","['barely watchable', 'acting is dire', 'disgraceful', 'Just terrible']"
Negative,0.95,"The review expresses strong disapproval, calling the movie ""the worst"", criticizing the plot, special effects, and acting, and advising others to avoid it.","['This was probably the worst movie i have ever seen in my life!!', 'It was stupid there was no plot and the special affects were ridiculous!!', 'And i have never seen such bad acting in my life!', 'I would advise anyone who has heard of this movie and was interested in seeing it to just forget about it and find another movie to watch!', 'I was very disappointed!!', 'The whole movie was a complete waste of time in my opinion.']"
Negative,0.85,"The review expresses several criticisms, including a predictable plot, stereotypical script, lack of chemistry between the leads, and a generally unmemorable quality. The reviewer explicitly states that the film ""fails to be memorable"" and compares it unfavorably to other romantic films.","['predictable plot', 'script that borders on stereotypical', 'chemistry between the two leads is not great', 'fails to be memorable']"
Negative,0.95,"The reviewer explicitly states the movie is ""not scary at all,"" criticizes several scenes as unoriginal, and concludes by saying the audience won't miss anything by not seeing it.","['not scary at all', 'nothing new', 'lacked all dramaticness', ""you won't be missing anything by NOT seeing this!""]"
Negative,0.95,"The review uses phrases like ""sad to see a pretty good cast wasted like this,"" ""horridly forgettable role,"" ""sadly contains none of the latter,"" and ""extremely forgettable one"" to convey a negative opinion of the movie. The grade of ""C-"" also indicates a negative assessment.","['sad to see a pretty good cast wasted like this', 'horridly forgettable role', 'sadly contains none of the latter', 'extremely forgettable one', 'C-']"
Negative,0.95,"The review expresses strong disapproval of the movie, citing ""tired scares, bad acting,"" and calling the film ""tiresome and dull."" The reviewer clearly dislikes the film and expresses frustration with Hollywood's reliance on remakes.","['Tired scares, bad acting (except for Amber Tamblyn), and clichés all over the place.', 'everything else is simply tiresome and dull.', ""day after day it's getting easier to hold a grudge... against Hollywood bullshits.""]"
Positive,0.95,"The review expresses strong positive sentiments towards the movie, highlighting its comedic value, cult following, and the actors' performances. Phrases like ""fun romp"" and ""great entertainment"" indicate a positive overall assessment.","['quirky flick', 'fun romp', 'great entertainment']"
Negative,0.95,"The reviewer expresses strong disappointment and negativity towards the film, describing it as painful to watch and questioning its coherence and quality.","[""I feel for you, I *really* do. And I profusely apologize as a Canadian (because that's what we do) that this film ever had to cross your eyes, if only for a moment."", ""The dialogue was incoherent and most of the scenes took place in my grandmother's trailer, I swear to God."", ""It's just too painful.""]"
Positive,0.95,"The review uses positive language such as ""delightful film"", ""nice performances"", ""entertaining"", and indicates the movie led to big stardom.","['delightful film', 'nice performances', 'entertaining', 'big stardom']"
Positive,0.95,"The review uses highly positive language, praising the writing, directing, acting, and overall experience. Phrases like ""top notch writing, directing, and acting,"" ""wonderful evening,"" and ""terrific comedy of entertainment"" strongly indicate a positive sentiment.","['top notch writing, directing, and acting', 'wonderful evening', 'terrific comedy of entertainment', 'vividly memorable performances', 'worthwhile experience']"
Negative,0.95,"The reviewer expresses disappointment that the series did not live up to the original movie and failed to create spectacular scenes, indicating a negative overall impression.","['Of course, I was let down.', ""they didn't give us any of the spectacular theatrical scenes, that held your interest throughout the first movie."", 'Obviously, they didn\'t want to leave a LASTING impression of ""faith and sacrifice""']"
Positive,0.98,"The review uses extremely positive language, praising Daniel Day-Lewis's performance and the movie overall. It highlights the actor's versatility and the film's inspirational quality.","['Daniel Day-Lewis is the most versatile actor alive.', 'As Cristy Brown he is stunning.', 'This movie, despite small scene-transition faults and the like, is an inspiration.', 'A must-see.']"
Negative,0.95,"The review expresses multiple negative points about the movie, including a confused storyline, unclear character motivation, bad dialogue, and cardboard characters. It concludes by saying the movie is ""not unwatchable but also not worth watching.""","['confused, abbreviated storyline', 'often partially lost and usually unclear on character motivation', 'Bad dialog, cardboard characters', 'not worth watching']"
Negative,0.95,"The review explicitly states the movie is ""EXTREMELY BORING"" and ""the WORST movie I had ever seen"", indicating a strongly negative opinion.","['EXTREMELY BORING horror movie', 'no acting, no screenplay, no direction, no thrills and not even blood', 'the WORST movie I had ever seen']"
